Start,neighbour
Machelen,Zemst
Machelen,Bruxelles
Zemst,Mechelen
Zemst,Machelen
Mechelen,Rumst
Mechelen,Zemst
Rumst,Kontich
Rumst,Mechelen
Kontich,Wilrijk
Kontich,Rumst
Wilrijk,Antwerpen
Wilrijk,Kontich
Antwerpen,Brecht
Antwerpen,Wilrijk
Brecht,Loenhout
Brecht,Antwerpen
Loenhout,Meer
Loenhout,Brecht
Winksele,Herent
Winksele,Leuven
Herent,Wilsele
Herent,Winksele
Wilsele,Holsbeek
Wilsele,Herent
Holsbeek,Aarschot
Holsbeek,Wilsele
Aarschot,Bekkevoort
Aarschot,Holsbeek
Bekkevoort,Diest
Bekkevoort,Aarschot
Diest,Lummen
Diest,Bekkevoort
Lummen,Genk
Lummen,Diest
Genk,Maasmechelen
Genk,Lummen
Evere,Kraainem
Evere,Bruxelles
Kraainem,Sterrebeek
Kraainem,Evere
Sterrebeek,Bertem
Sterrebeek,Kraainem
Bertem,Heverlee
Bertem,Sterrebeek
Heverlee,Leuven
Heverlee,Bertem
Leuven,Tienen
Leuven,Heverlee
Tienen,Lincent
Tienen,Leuven
Lincent,Landen
Lincent,Tienen
Landen,Berloz
Landen,Lincent
Berloz,Crisnee
Berloz,Landen
Crisnee,Luik
Crisnee,Berloz
Luik,Herstal
Luik,Crisnee
Herstal,Barchon
Herstal,Luik
Barchon,Herve
Barchon,Herstal
Herve,Eupen
Herve,Barchon
Overijse,Rosieres
Overijse,Bruxelles
Rosieres,Bierges
Rosieres,Overijse
Bierges,Wavre
Bierges,Rosieres
Wavre,Louvranges
Wavre,Bierges
Louvranges,Louvain-la-Neuve
Louvranges,Wavre
Louvain-la-Neuve,Walhain
Louvain-la-Neuve,Louvranges
Walhain,Eghezee
Walhain,Louvain-la-Neuve
Eghezee,Namen
Eghezee,Walhain
Namen,Wierde
Namen,Eghezee
Wierde,Courriere
Wierde,Namen
Courriere,Spontin
Courriere,Wierde
Spontin,Achene
Spontin,Courriere
Achene,Custinne
Achene,Spontin
Custinne,Rochefort
Custinne,Achene
Rochefort,Lavaux-Sainte-Anne
Rochefort,Custinne
Lavaux-Sainte-Anne,Wellin
Lavaux-Sainte-Anne,Rochefort
Wellin,Tellin
Wellin,Lavaux-Sainte-Anne
Tellin,Transinne
Tellin,Wellin
Transinne,Verlaine
Transinne,Tellin
Verlaine,Longlier
Verlaine,Transinne
Longlier,Leglise
Longlier,Verlaine
Leglise,Rulles
Leglise,Longlier
Rulles,Habay
Rulles,Leglise
Habay,Stockem
Habay,Rulles
Stockem,Aarlen
Stockem,Habay
Aarlen,Weyler
Aarlen,Stockem
Weyler,Sterpenich
Weyler,Aarlen
Nijvel,Felluy
Nijvel,Itter
Felluy,Besonrieux
Felluy,Nijvel
Besonrieux,Le Roeulx
Besonrieux,Felluy
Le Roeulx,La Louviere
Le Roeulx,Besonrieux
La Louviere,Thieu
La Louviere,Le Roeulx
Thieu,Obourg
Thieu,La Louviere
Obourg,Nimy
Obourg,Thieu
Nimy,Bergen
Nimy,Obourg
Bergen,Jemappes
Bergen,Nimy
Jemappes,Sint-Ghislain
Jemappes,Bergen
Sint-Ghislain,Dour
Sint-Ghislain,Jemappes
Lembeek,Tubeke
Lembeek,Halle
Tubeke,Bierk
Tubeke,Lembeek
Bierk,Hove
Bierk,Tubeke
Hove,Edingen
Hove,Bierk
Edingen,Mark
Edingen,Hove
Mark,Zullik
Mark,Edingen
Zullik,Lessen
Zullik,Mark
Lessen,Aat
Lessen,Zullik
Aat,Frasnes
Aat,Lessen
Frasnes,Doornik
Frasnes,Aat
Doornik,Blandian
Doornik,Frasnes
Berchem-Saint-Agathe,Ternat
Berchem-Saint-Agathe,Bruxelles
Ternat,Affligem
Ternat,Berchem-Saint-Agathe
Affligem,Aalst
Affligem,Ternat
Aalst,Erpe-Mere
Aalst,Affligem
Erpe-Mere,Wetteren
Erpe-Mere,Aalst
Wetteren,Gent
Wetteren,Erpe-Mere
Gent,Merelbeke
Gent,Wetteren
Merelbeke,Drongen
Merelbeke,Gent
Drongen,Nevele
Drongen,Merelbeke
Nevele,Aalter
Nevele,Drongen
Aalter,Beernem
Aalter,Nevele
Beernem,Oostkamp
Beernem,Aalter
Oostkamp,Brugge
Oostkamp,Beernem
Brugge,Loppem
Brugge,Oostkamp
Loppem,Jabbeke
Loppem,Brugge
Jabbeke,Oudenburg
Jabbeke,Loppem
Oudenburg,Zandvoorde
Oudenburg,Jabbeke
Zandvoorde,Oostende
Zandvoorde,Oudenburg
Melsele,Beveren
Melsele,Antwerpen
Beveren,Vrasene
Beveren,Melsele
Vrasene,Kemzeke
Vrasene,Beveren
Kemzeke,Moerbeke
Kemzeke,Vrasene
Moerbeke,Zelzate
Moerbeke,Kemzeke
Zelzate,Knokke-Heist
Zelzate,Moerbeke
Knokke-Heist,Brugge
Knokke-Heist,Zelzate
Laeken,Meise
Laeken,Bruxelles
Meise,Breendonk
Meise,Laeken
Breendonk,Willebroek
Breendonk,Meise
Willebroek,Boom
Willebroek,Breendonk
Boom,Wilrijk
Boom,Willebroek
Wilrijk,Antwerpen
Wilrijk,Boom
Antwerpen,Ekeren
Antwerpen,Wilrijk
Ekeren,Leugenberg
Ekeren,Antwerpen
Leugenberg,Hoevenen
Leugenberg,Ekeren
Hoevenen,Stabroek
Hoevenen,Leugenberg
Stabroek,Berendrecht
Stabroek,Hoevenen
Berendrecht,Zandvliet
Berendrecht,Stabroek
Borgerhout,Wommelgem
Borgerhout,Antwerpen
Wommelgem,Massenhoven
Wommelgem,Borgerhout
Massenhoven,Herentals
Massenhoven,Wommelgem
Herentals,Geel
Herentals,Massenhoven
Geel,Ham
Geel,Herentals
Ham,Tessenderloo
Ham,Geel
Tessenderloo,Beringen
Tessenderloo,Ham
Beringen,Lummen
Beringen,Tessenderloo
Lummen,Hasselt
Lummen,Beringen
Hasselt,Diepenbeek
Hasselt,Lummen
Diepenbeek,Tonegeren
Diepenbeek,Hasselt
Tonegeren,Boirs
Tonegeren,Diepenbeek
Boirs,Liers
Boirs,Tonegeren
Liers,Vottem
Liers,Boirs
Vottem,Luik
Vottem,Liers
Zwijndrecht,Kruilbeke
Zwijndrecht,Antwerpen
Kruilbeke,Haasdonk
Kruilbeke,Zwijndrecht
Haasdonk,Sint-Niklaas
Haasdonk,Kruilbeke
Sint-Niklaas,Waasmunster
Sint-Niklaas,Haasdonk
Waasmunster,Lokeren
Waasmunster,Sint-Niklaas
Lokeren,Beervelde
Lokeren,Waasmunster
Beervelde,Gentbrugge
Beervelde,Lokeren
Gentbrugge,Gent
Gentbrugge,Beervelde
Gent,De Pinte
Gent,Gentbrugge
De Pinte,Deinze
De Pinte,Gent
Deinze,Kruihouten
Deinze,De Pinte
Kruihouten,Waregem
Kruihouten,Deinze
